abandon,[E5bAndEn],"vt.放弃, 遗弃//n.放任, 狂热"
exude,[ig5zju:d],"v.(使)流出, (使)渗出, 发散开来"
exultant,[ig5zQltEnt],"adj.非常高兴的, 欢跃的"
eyewitness,[5aiwitnis],"n.目击者, 见证人"
fable,[5feibl],"n.寓言, 神话, 谎言//vi.讲故事, 编寓言, 煞有其事地讲述"
fabricate,[5fAbrikeit],"vt.制作, 构成, 捏造, 伪造, 虚构"
facet,[5fAsit],"n.(多面体的)面, (宝石等的)刻面, 小平面, 方面, 琢面//vt.在...上刻画"
facetious,[fE5si:FEs],"adj.幽默的, 滑稽的, 喜开玩笑的"
facile,[5fAsail; (?@) 5fAsl],"adj.易做到的, 易得到的, 不花力气的, 敏捷的, 流畅的, (性格)柔顺的, 温和的, 容易的"
facility,[fE5siliti],"n.容易, 简易, 灵巧, 熟练, 便利, 敏捷, 设备, 工具"
factious,[5fAkFEs],"adj.好搞派系的, 好捣乱的"
factitious,[fAk5tiFEs],"adj.人为的, 做作的, 不自然的"
fad,[fAd],"n.时尚, 一时流行的狂热, 一时的爱好"
fagot,[5fAgEt],"n.柴把, 束薪, [冶]成束熟铁块, <英>加调味品的烤肝片//vt.捆, 束"
fail,[feil],"vi.失败, 不及格, 忘记//vt.使失望, 舍弃, 辜负, 不及格//n.不及格, 不及格者"
failure in,[],...的失败
faint,[feint],"n.昏晕, 昏倒//adj.虚落地, 衰弱的, 软弱的, 无力的, 微弱的, 暗淡的, 模糊的//vi.昏晕, 昏倒, 变得微弱, 变得没气力"
faith,[feiW],"n.信任, 信念, 宗教信仰, 忠实, 保证, 诺言, 约定"
faithful,[5feiWful],"adj.守信的, 忠实的, 详确的, 可靠的//n.信徒"
falcon,[5fAlkEn; 5fC:l-],n.[动](猎鸟用的)猎鹰
fallacious,[fE5leiFEs],"adj.谬误的, 靠不住的, 虚妄的, 令人失望的, 虚伪的, 使人误解的, 不合理的"
fallacy,[5fAlEsi],"n.谬误, 谬论"
fallen,[5fC:lEn],"adj.倒下的, 伐倒的, 伏地的, 堕落的, 落下来的, 陷落的//vbl.fall 的过去分词"
fallible,[5fAlEbl],"adj.易错的, 可能犯错的"
fallow,[5fAlEu],"n.休耕地//adj.[农]休耕的, 未孕的, 潜伏发, 不活跃的//vt.使(土地)休闲, 休整, 潜伏(指潜在的特征等)vt.等于, 比得上"
falter,[5fC:ltE],"vt.支吾地说, 结巴地讲出//vi.支吾, 蹒跚踉跄, 摇摆, (声音)颤抖//n.颤抖, 支吾, 踌躇"
fame,[feim],"n.名声, 名望, 传说, <古>传闻//vt.(常用被动语态)使闻名, 使有名望, 盛传"
familiarize,[fE5miljEraiz],v.熟悉
family,[5fAmili],"n.家庭, 家族, 家属, 亲属, 子女, 僚属//adj.家庭的, 家族的"
famish,[5fAmiF],"vt.(常用被动语态)使挨饿, <古>使饿死//vi.饥饿, 挨饿"
famished,[],极饥饿的
fanatic,[fE5nAtik],"n.狂热者, 盲信者, 入迷者//adj.狂热的, 盲信的"
fanaticism,[fE5nAtisizEm],"n.狂热, 盲信"
fantasy,[5fAntEsi; 5fAntEzi],"n.幻想, 白日梦"
far,[fB:],"adj.(常用于书面语)远的, 久远的, 遥远的//adv.(表示空间或时间上的距离)远, 很远, 遥远地, 久远地, 甚远地, 很, 很晚地//n.远处, 远方"
farce,[fB:s],"n.笑剧, 闹剧, 滑稽剧, 胡闹//vt.<古>填塞, 为(演讲,作品等)加穿插"
farm,[fB:m],"n.农场, 农庄, 农田//vt.耕种//vi.种田, 务农, 经营农场, 从事畜牧"
farther,[5fB:TE],"adj.更远的, 进一步的//adv.更远地, 再往前地, 此外, far 的比较级"
fascinate,[5fAsineit],"vt.使着迷, 使神魂颠倒//vi.入迷, 极度迷人的"
fashionable,[5fAFEnEbl],"adj.流行的, 时髦的"
fast,[fB:st],"adj.紧的, 牢的, 忠实的, 快速的, 耐久的, 紧的//adv.牢固地, 很快地, 紧紧地, 彻底地//n.禁食, 绝食, 斋戒//vi.绝食, 斋戒"
fat,[fAt],"n.脂肪, 肥肉//adj.肥大的, 丰满的, 肥的, 胖的, 油腻的//n.文件分配表//vt.养肥, 在...中加入脂肪//vi.长肥"
fatalism,[5feitEliz(E)m],n.宿命论
fateful,[5feitful],"adj.宿命的, 重大的, 决定性的, 致命性的, 预言性的"
fatuous,[5fAtjuEs],"adj.愚昧的, 昏庸的, 发呆的, 愚笨的, 自满的"
fealty,[5fi:Elti],"n.(对封建主义的)效忠, 孝顺, 忠诚, 忠贞, 忠实"
fear,[fiE],"n.恐怖, 害怕, 担心, 敬畏//v.害怕, 畏惧, 为...担心, 敬畏(神等)"
fearful,[5fiEful],"adj.可怕的, 吓人的, 恐怕的, 严重的"
feasible,[5fi:zEbl],"adj.可行的, 切实可行的"
feat,[fi:t],"n.技艺, 功绩, 武艺, 壮举, 技艺表演//adj.漂亮的, 合适的"
fecundity,[fi`kQndEti],"n.多产, 丰饶, 肥沃, [动]产卵力, 生育力, [植]结实性"
fed up with,[],受够了...
fee,[fi:],"n.费(会费、学费等), 酬金"
feeble,[5fi:bl],"adj.虚弱的, 衰弱的, 无力的, 微弱的, 薄弱的"
feel,[fi:l],"vt.摸, 触, 试探, 感觉, 觉得, 触摸, 以为//vi.有知觉, (人)有某种感觉, 摸索, 同情//n.感觉, 觉得, 触摸"
feet,[fi:t],"n.脚,(foot的复数), 英尺, 韵脚"
feign,[fein],"vt.假装, 装作, 捏造, <古>想象//vi.作假"
feint,[feint],"n.假象, 伪装, 假装, 假托, 佯攻, 虚击//vi.装作, 假装, 佯攻//adj.假的, 虚饰的, 不鲜明的, 淡的"
feldspar,[5feldspB:],n.[矿]长石
fell,[fel],"vbl.fall 的过去式//vt.击倒, 打倒(疾病等), 致于...死地, 砍伐//n.一季所伐的木材, 兽皮, 羊毛//adj.凶猛的, 可怕的"
ferment,[5fE:mEnt],"n.酵素, 发酵, 动乱//v.(使)发酵, (使)激动, (使)动乱"
fermentation,[7fE:men5teiFEn],n.发酵
ferocious,[fE5rEuFEs],"adj.凶恶的, 残忍的, 凶猛的, <口>十分强烈的, 极度的"
ferret,[5ferit],"n.白鼬, 雪貂, 侦探, 细带//vt.用雪貂打猎, 追赶, 搜出, 驱出//vi.用雪豹狩猎, 搜索"
fertile,[5fE:tail; 5fE:til],"adj.肥沃的, 富饶的, 能繁殖的"
fertilizer,[5fE:ti7laizE],"n.肥料(尤指化学肥料), [动]受精媒介物"
fervent,[5fE:vEnt],adj.炽热的
fervid,[5fE:vid],"adj.热的, 热心的"
fester,[5festE],"n.脓疮//vi.溃烂, 化脓//vt.使烦恼, 使溃烂"
fete,[feit],"n.庆祝, 祭祀, 节日//vt.宴请, 招待, 给予...巨大的荣誉"
fetish,[5fi:tiF; 5fetiF],"n.物神, 迷信, 偶像"
fetter,[5fetE],"n.[常用复]脚镣, 羁绊, 束缚//vt.束缚, 加脚镣"
feud,[fju:d],"n.不和, (部落或家族间的)世仇, 封地, 争执//vi.长期不和, 长期争斗"
feudalism,[`fju:dElizEm],灭亡
feverish,[5fi:vEriF],"adj.发烧的, 热病的, 狂热, 兴奋的"
few,[fju:],"adj.很少的, 不多的, 少数的//n.[表示否定]很少数, 几乎没有"
fickle,[5fikl],"adj.(在感情等方面)变幻无常的, 浮躁的, 薄情的"
fiction,[5fikFEn],"n.虚构, 编造, 小说"
fictitious,[fik5tiFEs],"adj.假想的, 编造的, 虚伪的, 习惯上假定的, 假想的, 假装的, 小说中的"
fidelity,[fi5deliti],"n.忠实, 诚实, 忠诚, 保真度, (收音机, 录音设备等的)逼真度, 保真度, 重现精度"
figment,[5figmEnt],"n.臆造的事物, 虚构的事"
figurehead,[5figEhed],"n.装饰船头的雕像, 破浪神, 有名无实的领袖"
filch,[filtF],"vt.偷窃(不贵重的东西), 窃取"
file,[fail],"n.文件, 档案, 文件夹, 卷宗, 锉刀//vt.把...归档, 提出(申请等), 锉, 琢磨//vi.列队行进, 用锉刀锉"
fill,[fil],"vt.装满, 注满, 充满, 填充, 弥漫, 供应, 供给, 满足//vi.充满//n.满足, 饱, 充分, 填方//v.填充"
filthy,[5filWi],"adj.不洁的, 污秽的, 丑恶的"
final,[5fainEl],"n.结局, 决赛, 期末考试, <口>报纸(在一天中)最晚版//adj.最后的, 最终的, 决定性的"
finance,[fai5nAns; fi-],"n.财政, 金融, 财政学//vt.供给...经费, 负担经费//vi.筹措资金"
finch,[fintF],"n.[动]雀类(如燕雀,金翅雀等)述"
fine,[fain],"adj.美好的, 优良的, 杰出的, 精美的, 杰出的, 细, 纤细, 纯粹//n.罚款, 罚金, 晴天, 精细//vt.罚款, 精炼, 澄清//vi.变清, 变细//adv.<口>很好, 妙, [常用于构成复合词]细微地, 精巧地"
finish,[5finiF],"n.完成, 结束, 磨光, 末道漆, 完美//vt.完成, 结束, 用完, 毁掉, 使完美//vi.结束, 终结, 停止, 终止"
fir,[fE:],"n.[植]冷杉, 枞树, 杉木//abbr.[军] Far-Infra-Red, 远红外"
fire,[5faiE],"n.火, 炉火, 火灾, 失火, 闪光, 炮火, 热情, 激情//vt.点燃, 烧制, 使发光, 给(炉子等)加燃料, 放枪, 激动, <口>解雇//vi.开枪, 射击, 着火, 烧火, 激动"
firefly,[5faiEflai],n.萤火虫
firm,[fE:m],"n.公司, (合伙)商号//adj.结实的, 坚硬的, 坚定的, 坚固的, 牢固的, 稳固的, 严格的//vt.使牢固, 使坚定//vi.变稳固, 变坚实//adv.稳固地, 坚定地"
first,[fE:st],"adv.首先, 最初, 第一(列举条目等用), 优先//adj.第一的//num.第一(个)//n.开始, 第一, (比赛)冠军"
fishy,[5fiFi],"adj.鱼似的, 多鱼的, 腥臭的, (目光等)呆滞的, (在味道等方面)象鱼的"
fit,[fit],"n.突然发作, 适合, 痉挛, 一阵//adj.合适的, 恰当的, 健康的, ,准备好的//vt.适合, 安装, 使合身, 使适应, 使合格//vi.适合, 符合"
fitful,[5fitful],"adj.断断续续的, 一阵阵的, 间歇的, 不定的, 不规则的"
fitting,[5fitiN],"adj.适合的, 相称的, 适宜的//n.试穿, 试衣, 装配, 装置"
fix,[fiks],"vt.使固定, 装置, 修理, 准备, 安装, 凝视, 整理, 牢记//vi.固定, 注视, 决定, 选定, 确定//n.困境, 方位, 贿赂"
fixed,[fikst],"adj.固定的, 确定的, 准备好的, 固执的, 不易发挥的, <美口>(在经济上)处境...的"
fixture,[5fikstFE],"n.固定设备, 预定日期, 比赛时间, [机]装置器, 工作夹具"
flaccid,[5flAksid],"adj.软弱的, 无活力的, 没气力的"
flamingo,[flE5miNgEu],"n.[动]火烈鸟(形体似鹤,有粉红色,深红色和黑色羽毛)记"
flare,[flZE],"n.闪光, 闪耀//vi.闪光, 突然烧起来, 闪耀//vt.使闪耀, 使张开"
flatter,[5flAtE],"vt.过分夸赞, 奉承, 阿谀, 使高兴, 使满意, (画, 肖像上的形象)胜过(真人或实物)? 确定//n.困"
flaunt,[flC:nt],"n.招展, 招摇, 炫耀, 飘扬//v.挥动, 夸耀, 炫耀, 飘扬"
flavor,[5fleivE],"n.情味, 风味, 滋味, 香料//vt.加味于"
flaw,[flC:],"n.缺点, 裂纹, 瑕疵, 一阵狂风//vt.使破裂, 使有缺陷, 使无效//vi.生裂缝, 变的有缺陷"
flay,[flei],"vt.剥皮, 去皮, 抢夺, 严厉批评"
flea,[fli:],"n.跳蚤, 低廉的旅馆，生蚤的动物"
fleck,[flek],"n.(皮肤的)斑点, 雀斑, 斑纹, 微粒//vt.使起斑点, 使有斑纹, 使有斑驳"
flee,[fli:],"vt.逃避, 逃跑, 逃走//vi.消散, 逃, 消失"
flexibility,[7fleksE5biliti],"n.弹性, 适应性, 机动性, 挠性"
flexible,[5fleksEbl],"adj.柔韧性, 易曲的, 灵活的, 柔软的, 能变形的, 可通融的"
flicker,[5flikE],"n.扑动, 闪烁, 闪光, 颤动//vi.闪动, 闪烁, 摇动, 扑动翅膀, [美俚]昏倒, 假装昏倒//vt.使摇曳, 使闪烁"
flighty,[5flaiti],"adj.忽发奇想的, 反复无常的, 轻浮的, 轻狂的, 心情浮动的"
flimsy,[5flimzi],"adj.易坏的, 脆弱的, 浅薄的, 没有价值的, 不足信的, (人)浮夸的//n.薄纸, 描图用薄纸, 薄纸稿纸"
fling,[fliN],"n.投, 掷, 猛冲, 暴躁的行动, 急冲, 嘲弄, 讥笑//vt.猛投, 抛, 掷, 使陷入, 挥动, 嘲笑, 扫视//vi.猛冲, 直冲, 急行"
flip,[flip],"vt.掷, 弹, 轻击, (用鞭等)抽打, 空翻//vi.用指轻弹, 抽打, 翻动书页(或纸张), 蹦跳//n.抛, 弹, 筋斗//adj.无礼的, 冒失的, 轻率的"
flood,[flQd],"n.洪水, 水灾, (因雨)涨潮, [诗]水//vt.淹没, 使泛滥, 注满, 充满//vi.被水淹, 溢出, 涌进, 喷出, 涌出"
flop,[flCp],"n.砰然落下, 拍击声, 失败//vi.扑拍, 跳动, 脚步沉重地走, 笨重地摔, 猛落//vt.笨拙地抛下//adv.噗地一声, 恰巧"
flora,[5flC:rE],n.[罗神]花神
florid,[5flCrid],"adj.华丽的, 红润的, 炫耀的, 绚丽的"
flounder,[5flaundE],"vi.(在水中)挣扎, 困难地往前走, 踌躇, 发慌//n.挣扎, 辗转, 比目鱼"
flour,[5flauE],n.面粉
flout,[flaut],"vt.轻视, 嘲笑, 愚弄//vi.表示轻蔑//n.侮辱, 嘲笑, 愚弄, 轻视"
fluctuate,[5flQktjueit],"vi.变动, 波动, 涨落, 上下, 动摇//vt.使动摇, 使波动, 使起伏"
fluent,[5flu(:)Ent],"adj.流利的, 流畅的"
fluffy,[`flQfi],"adj.绒毛似的, 披着绒毛的, 蓬松的, 愚蠢的"
flurry,[5flQri],"n.阵风, 小雪, 小雨, 飓风, 慌张//vt.使恐慌, 使狼狈//vi.激动, 慌张"
flush,[flQF],"n.奔流, 晕红, 激动, 萌芽, 活力旺盛, 发烧, 一手同花的五张牌, 惊鸟//adj.挥霍的, 直接的, 丰足的, 泛滥的//adv.齐平地, 直接地//vi.(脸)发红, 奔涌, 充沛, 惊飞//vt.淹没, 冲洗, 使脸红, 使齐平, 使惊飞, 使激动"
fluster,[5flQstE],"n.慌乱, 狼狈, 混乱, 激动//vt.使酩醉, 使慌张, 使激动//vi.慌慌张张的行动, 混乱"
flux,[flQks],"n.涨潮, 变迁, [物]流量, 通量//vi.熔化, 流出//vt.使熔融, 用焊剂处理"
fly,[flai],"n.苍蝇, 两翼昆虫, 飞行//vi.飞翔, 飘扬, 溃逃//vt.飞越, 使飘扬, 逃脱//adj.机敏的, 敏捷的"
foam,[fEum],"n.泡沫, 水沫, 泡沫材料, 泡沫橡皮, 泡沫塑料//vi.起泡沫, 冒汗水, 吐白沫//vt.使起泡沫"
foe,[fEu],"n.反对者, 敌人, 危害物"
fog,[fCg],"n.雾, 烟雾, 尘雾, 迷惑, 苔藓//vi.被雾笼罩, 变模糊//vt.使困惑, 以雾笼罩"
foil,[fCil],"n.箔, 金属薄片, [建]叶形片, 烘托, 衬托//vt.衬托, 阻止, 挡开, 挫败, 贴箔于"
foist,[fCist],"vt.偷偷插入, 使混入, 硬卖给, 私自添加, 把...强加(于), 把...塞(给)贴箔于"
foliage,[5fEuliidV],"n.树叶, 植物"
foment,[fEu5ment],"vt.[医]热敷, 热罨, 煽动"
fondle,[5fCnd(E)l],v.抚弄
fondness for,[],喜好...
food,[fu:d],"n.食物, 养料"
foolhardy,[5fu:lhB:di],"adj.愚勇的, 有勇无谋的"
foolish,[5fu:liF],"adj.愚蠢的, 傻的, 笨的, 卤莽的, 可爱的"
forbid,[fE5bid],"vt.禁止, 不许//v.禁止"
force,[fC:s],"n.力量, 武力, 精力, 魄力, 势力, 暴力, [复]军队, 影响力//vt.强制, 强加, (用武力)夺取, 促使, 推动, 施加压力"
forced,[fC:st],"adj.被迫的, 强迫的, 动用武力的"
forcible,[5fC:sEbl],"adj.强制的, 暴力的, 有说服力的"
forcing culture,[],促成栽培
ford,[fC:d],n.浅滩//v.徒涉
foremost,[5fC:mEust],"adj.(位置或时间)最先的, 最初的, 最重要的//adv.首要地, 首先"
forerunner,[5fC:7rQnE],"n.先驱(者), 传令官, 预兆"
foresee,[fC:5si:],"vt.预见, 预知"
foresight,[5fC:sait],"n.远见, 深谋远虑"
forestall,[fC:5stC:l],"vt.之前, 先...(用先发制人的方法)预防, 阻止, 囤积居奇, 行动, 用先发制人的方法预防, ,垄断, 阻碍"
forestry,[5fCristri],"n.林产, 森林地, 林学"
foretell,[fC:5tel],"v.预言, 预示, 预测"
forge,[fC:dV],"v.稳步前进, 铸造, 伪造"
forget-me-not,[fE5getminCt],n.[植] 勿忘草
forget about,[],忘记
forlorn,[fE5lC:n],adj.被遗弃的
form,[fC:m],"n.形状, 形态, 外形, 表格, 形式//v.形成, 构成, 排列, (使)组成"
formal,[5fC:mEl],"adj.外形的, 正式的, 合礼仪的, 形式的, 整齐匀称的//n.正式的社交活动"
formally,[`fC:mEli],"adv.正式地, 形式上"
formative,[5fC:mEtiv],adj.格式化的
former,[5fC:mE],"adj.从前的, 以前的//n.形成者, 创造者, 模型, 样板"
formerly,[5fC:mEli],"adv.从前, 以前, 原来"
formidable,[5fC:midEbl],"adj.强大的, 令人敬畏的, 可怕的, 艰难的"
forsake,[fE5seik],"vt.放弃, 抛弃"
fort,[fC:t],"n.堡垒, 边界上的贸易站"
forte,[fC:t],n.长处
forth,[fC:W],"adv.往前, 向外"
forthright,[5fC:W5rait],"adv.马上, 立即//adj.直接的, 直率的, 坦白的, 豪爽的//n.直路"
fortify,[5fC:tifai],"vt.设防于, 增强(体力,结构等)使坚强, 增加, (酒)的酒精含量//vi.筑防御工事"
fortitude,[5fC:titju:d],n.坚韧
fortress,[5fC:tris],"n.堡垒, 要塞"
fortuitous,[fC:5tju(:)itEs],"adj.偶然的, 幸运的"
fortunate,[5fC:tFEnit],"adj.幸运的, 幸福的"
fortunate in,[],于...很幸运
fortune,[5fC:tFEn],"n.财富, 运气, 大量财产, 好运, 命运//vt.<古>偶然发生//vt.给...以大宗财富"
foul,[faul],"adj.污秽的, 邪恶的, 肮脏的, 淤塞的, 恶劣的//vt.弄脏, 妨害, 污蔑, 犯规, 淤塞//vi.腐烂, 犯规, 缠结//n.犯规, 缠绕//adv.违反规则地, 不正当地"
fourth,[fC:W],num.第四个
fowl,[faul],"n.家禽, 禽, 禽肉//v.捕野禽"
foxglove,[5fCks7glQv],n.[植]毛地黄
fraction,[5frAkFEn],"n.小部分, 片断, 分数"
fractious,[5frAkFEs],"adj.易怒的, 倔强的, 脾气不好的"
fracture,[5frAktFE],"n.破裂, 骨折//v.(使)破碎, (使)破裂"
fragile,[5frAdVail],"adj.易碎的, 脆的"
fragment,[5frAgmEnt],"n.碎片, 断片, 片段"
fragmentary,[5frAgmEntEri],"adj.由碎片组成的, 断断续续的"
fragrant,[5freigrEnt],"adj.芬芳的, 香的"
frail,[freil],"adj.虚弱的, 脆弱的, (意志)薄弱的//n.<美俚>少女, 少妇, 灯心草篓"
frailty,[5freilti],"n.虚弱, 脆弱, 意志薄弱, 过失, 品德上的弱点"
frank,[frANk],"adj.坦白的, 率直的, 老实的//vt.免费邮寄//n.免费邮寄特权"
frantic,[5frAntik],"adj.狂乱的, 疯狂的"
fraternal,[frE5tE:nl],"adj.兄弟的, 兄弟般的, 友爱的"
fraud,[frC:d],"n.欺骗, 欺诈行为, 诡计, 骗子, 假货"
fraudulent,[5frC:djulEnt],"adj.欺诈的, 欺骗性的, 骗得的"
fraught,[frC:t],adj.充满...的
fray,[frei],"n.冲突, 打架, 争论, (织物等)磨损处//vt.使磨损//vi.被磨损"
free,[fri:],"adj.自由的, 大方的, 免费的, 免税的, 丰富的, 空闲的//vt.释放, 使自由//adv.自由地, 免费"
freesia,[5fri:ViE],n.[植]小苍兰属植物
frenzy,[5frenzi],"n.狂暴, 狂怒"
fresh,[freF],"adj.新鲜的, 无经验的, 生的, 冒失的, 鲜艳的//adv.最新地, 刚刚//n.开始, 泛滥"
fret,[fret],"v.(使)烦恼, (使)焦急, (使)腐蚀, (使)磨损"
friction,[5frikFEn],"n.摩擦, 摩擦力"
fright,[frait],"n.惊骇, 吃惊"
frigid,[5fridVid],"adj.寒冷的, 冷淡的, (妇女)缺乏性感的"
fritter,[5fritE],"vt.浪费, 剁碎, 细切//n.细片, 屑"
frog,[frCg],n.青蛙//vi.捕蛙
front,[frQnt],"n.前面, 开头, 前线, (政治上的)阵线, 态度, 外表//vt.面对, 朝向, 对付//vi.朝向"
frown,[fraun],"vi.皱眉, 蹙额, 不赞成, 反对//v.皱眉"
frowzy,[5frauzi],"adj.不整洁的, 憋闷的, 有臭味的"
frugal,[5fru:gEl],"adj.节俭的, 朴素的"
fruition,[fru(:) 5iFEn],"n.享用, 结果实, 成就, 实现"
frustrate,[frQs5treit],"v.挫败, 阻挠, 使感到灰心, 阻止"
fuddled,[],醉的
full,[ful],"n.全部, 完整//adj.充满的, 完全的, 丰富的, 完美的, 详尽的, 丰满的//adv.完全地, 整整, 十分//vt.把衣服缝得宽大"
fully,[5fuli],"adv.充分地, 完全地, 足足, 至少"
fulminate,[5fQlmineit],"vt.使爆发, 以严词谴责//vi.爆炸, 电闪, 怒喝//n.雷酸盐, 雷汞"
fulsome,[5fulsEm],"adj.过度的, 令人生厌的, 过分的"
fun,[fQn],"n.娱乐, 玩笑, 嬉笑, 有趣的人或事物//vi.开玩笑//adj.供娱乐用的"
function,[5fQNkFEn],"n.官能, 功能, 作用, 职责, 典礼, 仪式, [数]函数//vi.(器官等)活动, 运行, 行使职责"
functional,[5fQNkFEnl],adj.功能的
fund,[fQnd],"n.资金, 基金//v.支助, 投资"
fundamental,[7fQndE5mentl],"adj.基础的, 基本的//n.基本原则, 基本原理"
funereal,[fju(:)5niEriEl],"adj.送葬的, 悲哀的, 适合葬礼的"
furious,[5fjuEriEs],"adj.狂怒的, 狂暴的, 激烈的, 热烈兴奋的, 极为激烈"
furniture,[5fE:nitFE],"n.家具, 设备, 储藏物"
further,[5fE:TE],"adj.更远的, 更多的, 深一层的//vt.促进, 增进, 助长//adv.更进一步地, 更远地, 此外"
furtive,[5fE:tiv],"adj.偷偷摸摸的, 鬼鬼祟祟的, 秘密的, 私下的, 隐密的"
fury,[5fjuEri],"n.狂怒, 狂暴, 激烈, 狂怒的人"
fusion,[5fju:VEn],"n.熔化, 熔解, 熔合, 熔接"
fussy,[5fQsi],"adj.为琐事而担忧的, 过分装饰的, 繁琐的, 急躁, 爱挑剔的, 难取悦的"
futile,[5fju:tail; -til],"adj.琐细的, 无用的, 无效果的, (人)没有出息的"
fuzzy,[5fQzi],"adj.有绒毛的, 模糊的, 失真的"
gabble,[5gAbl],"vi.急促而不清楚地说话, 七嘴八嘴地说, 喋喋不休地说//vt.急促地说//n.急促讲出而叫人听不清说的话"
gad,[gAd],"vi.闲逛, 游荡, 找乐子//vt.用铁棒刺//n.游荡, 錾, (赶牲畜用的)尖头棒//int.表示轻微的咒骂或惊讶, God 的变形"
gag,[gAg],"n.塞口物, 随口科白, 打诨, 箝口物, 箝制言论, 讨论终结//vt.塞物于...的口中, 禁止, 使窒息, 使呕吐, 压制言论自由, 插科打诨, 欺骗//vi.窒息, 作呕, 欺骗, 插科打诨"
gage,[geidV],"n.象徵挑战的物品(如手套), 挑战, 抵押品, 担保品//vt.以...为担保, 以...为赌注//n.(=gauge) 标准度量, 计量器//vt.(=gauge) 精确计量, 估计"
gainful,[5geinful],"adj.有利益的, 唯利是图的"
